Name,Region,Priority,Latitude,Longitude,Tier
Yarwood Ave,BU,1,1.335870,103.784290,1
RRR,PJ,2,1.336934,103.781108,1
Queens Road,BU,3,1.318893,103.808035,1
KAP,PJ,4,1.336687,103.781129,1
Boon Lay Way,PJ,5,1.344876,103.721107,1
Yishun Ave 7,WK,6,1.439516,103.835891,1
CCK Ave 1,WK,7,1.381361,103.749891,1
Craig Rd,BU,8,1.277447,103.843244,1
Yishun Ave 2/5,WK,9,1.430357,103.835741,1
Riverside Road,WK,10,1.446512,103.778319,1
Neo Pee Teck Lane,PJ,11,1.292160,103.768736,1
Adam Road,BU,13,1.324567,103.813809,1
Enterprise,PJ,14,1.332796,103.707767,1
ENV Building,BU,15,1.310700,103.836400,1
Lor 1/2 TPY,KG,1,1.340763,103.847019,1
UPL,KG,2,1.344492,103.882576,1
Ubi Ave 1,KG,3,1.327344,103.902805,1
PUBRC,KG,4,1.342384,103.867695,1
Jalan Seaview,KG,5,1.301670,103.896522,1
Upper Thomson Road,KG,8,1.353382,103.834513,1
TPE,CP,4,1.399755,103.898216,1
KPE,CP,5,1.375694,103.910083,1
Tanah Merah,CP,6,1.326805,103.946197,1
Jalan Teliti,CP,7,1.360513,103.891008,1
Mackenzie Road,BU,99,1.3065,103.8474,2
PIE KPE Slip Road,KG,99,1.3201,103.8775,2
540 Sims Ave (KG),KG,99,1.3165,103.8891,2
Tan Kah Kee Bus Stop,BU,99,1.3275,103.8064,2
Queen Street,BU,99,1.3009,103.8553,2
Balmoral,BU,99,1.3135,103.8299,2
Woodlands Rd Jln Bumbong,WK,99,1.4147,103.7552,2
Hong Heng Building,WK,99,1.4034,103.8177,2
Hillview Ave,WK,99,1.3650,103.7651,2
Old CCK Road,WK,99,1.3714,103.6892,2
New Tiew Road,WK,99,1.4229,103.7187,2
Sembawang Hot Springs,WK,99,1.4349,103.8241,2
Cashew Road,WK,99,1.3697,103.7648,2
KJE to Woodlands Road,WK,99,1.3869,103.7567,2
Woodlands Ave 10,WK,99,1.4564,103.8121,2
Ang Mo Kio Ave 6 (LTA),KG,99,1.3787,103.8441,2
Cactus Road,KG,99,1.3893,103.8518,2
Pesawat Drive,PJ,99,1.3196,103.7203,2
Pandan Road,PJ,99,1.2989,103.7483,2
Gul Circle,PJ,99,1.3154,103.6769,2
Yuan Ching Road,PJ,99,1.3312,103.7249,2
Boon Lay Ave (S),PJ,99,1.3443,103.7072,2
Jurong Town Hall Road,PJ,99,1.3286,103.7441,2
Wan Tho Ave (KG),KG,99,1.3324,103.8707,2
